ten_the_loai,url_the_loai
"Cấp, quản lý thẻ căn cước công dân",https://conganthanhhoa.gov.vn/dich-vu-cong/cap-quan-ly-the-can-cuoc-cong-dan
Chính sách,https://conganthanhhoa.gov.vn/dich-vu-cong/chinh-sach
"Đăng ký, quản lý con dấu",https://conganthanhhoa.gov.vn/dich-vu-cong/dang-ky-quan-ly-con-dau
"Đăng ký, quản lý cư trú",https://conganthanhhoa.gov.vn/dich-vu-cong/dang-ky-quan-ly-cu-tru
"Đăng ký,quản lý phương tiện giao thông cơ giới đường bộ",https://conganthanhhoa.gov.vn/dich-vu-cong/dang-ky-quan-ly-phuong-tien-giao-thong-co-gioi-duong-bo
"Khiếu nại,tố cáo",https://conganthanhhoa.gov.vn/dich-vu-cong/khieu-nai-to-cao
Phòng cháy chữa cháy,https://conganthanhhoa.gov.vn/dich-vu-cong/phong-chay-chua-chay
Quản lý ngành nghề kinh doanh có điều kiện,https://conganthanhhoa.gov.vn/dich-vu-cong/quan-ly-nganh-nghe-kinh-doanh-co-dieu-kien
"Quản lý vũ khí,vật liệu nổ và công cụ hỗ trợ",https://conganthanhhoa.gov.vn/dich-vu-cong/quan-ly-vu-khi-vat-lieu-no-va-cong-cu-ho-tro
Quản lý xuất nhập cảnh,https://conganthanhhoa.gov.vn/dich-vu-cong/quan-ly-xuat-nhap-canh
Tổ chức cán bộ,https://conganthanhhoa.gov.vn/dich-vu-cong/to-chuc-can-bo
Lĩnh vực khác,https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/linh-vuc-khac
Định danh và xác thực điện tử,https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/dinh-danh-va-xac-thuc-dien-tu
Lý lịch tư pháp,https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/ly-lich-tu-phap
Bảo đảm an ninh hàng không,https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/an-ninh-hang-khong
"Quản lý, sử dụng pháo",https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/quan-ly-su-dung-phao
"Sát hạch, cấp GPLX",https://conganthanhhoa.gov.vn/danh-sach-dich-vu-cong/sat-hach-cap-gplx
